id,booking_id,rating,comment,created_at,updated_at
1,1,4,"Dịch vụ tốt, nhân viên thân thiện.",2026-09-05 18:45:00,2026-09-06 10:45:00
2,2,4,"Dịch vụ tốt, nhân viên thân thiện.",2026-07-31 02:26:00,2026-07-31 22:26:00
3,3,5,Dịch vụ tuyệt vời và chuyên nghiệp.,2026-07-01 00:11:00,2026-06-30 09:11:00
4,4,4,Khá hài lòng với trải nghiệm.,2026-06-18 14:55:00,2026-06-18 22:55:00
5,5,3,Trải nghiệm ở mức bình thường.,2026-09-01 23:42:00,2026-09-01 19:42:00
6,6,2,Dịch vụ chưa đúng kỳ vọng.,2026-06-25 10:56:00,2026-06-25 23:56:00
7,7,3,Trải nghiệm ở mức bình thường.,2026-08-27 09:15:00,2026-08-26 20:15:00
8,8,5,Dịch vụ tuyệt vời và chuyên nghiệp.,2026-08-20 11:45:00,2026-08-19 17:45:00
9,9,5,"Không gian đẹp, nhân viên rất chu đáo.",2026-08-20 13:14:00,2026-08-20 08:14:00
10,11,3,"Dịch vụ ổn, không có vấn đề lớn.",2026-09-06 08:26:00,2026-09-05 23:26:00
11,12,1,"Trải nghiệm chưa tốt, cần cải thiện.",2026-06-21 19:45:00,2026-06-20 16:45:00
12,13,3,"Dịch vụ ổn, không có vấn đề lớn.",2026-09-07 21:26:00,2026-09-08 03:26:00
13,14,4,"Dịch vụ tốt, nhân viên thân thiện.",2026-09-01 03:00:00,2026-09-01 22:00:00
14,15,4,Khá hài lòng với trải nghiệm.,2026-08-28 00:45:00,2026-08-28 09:45:00
15,16,3,Trải nghiệm ở mức bình thường.,2026-07-22 09:15:00,2026-07-22 15:15:00
16,19,1,"Trải nghiệm chưa tốt, cần cải thiện.",2026-07-08 13:00:00,2026-07-08 21:00:00
17,21,4,"Dịch vụ tốt, nhân viên thân thiện.",2026-08-12 20:56:00,2026-08-13 00:56:00
18,23,4,Khá hài lòng với trải nghiệm.,2026-06-30 11:40:00,2026-06-30 19:40:00
