id,booking_id,rating,comment,created_at,updated_at
1,1,4,"Đặt lịch nhanh, lễ tân nhắc lịch trước khi đến.",2026-06-06 23:19:00,2026-06-07 12:19:00
2,2,4,"Dịch vụ tốt, tôi sẽ giới thiệu cho bạn bè.",2026-09-06 23:18:00,2026-09-08 09:18:00
3,3,5,Nhân viên nhớ sở thích của tôi từ lần trước.,2026-07-21 11:29:00,2026-07-23 17:29:00
4,8,4,"Phòng sạch, mùi tinh dầu dễ chịu.",2026-06-19 20:36:00,2026-06-20 06:36:00
5,12,5,"Đá nóng rất dễ chịu, cổ vai gáy đỡ hẳn.",2026-07-31 22:32:00,2026-08-02 03:32:00
6,15,4,"Massage lực vừa phải, đúng như tôi yêu cầu.",2026-06-26 22:46:00,2026-06-27 17:46:00
7,16,5,"Rất hài lòng, kỹ thuật viên chuyên nghiệp và chu đáo.",2026-06-13 07:26:00,2026-06-15 12:26:00
8,17,3,"Dịch vụ ổn, nhưng khu vực chờ hơi chật.",2026-07-11 03:01:00,2026-07-12 07:01:00
9,22,5,Trà thảo mộc sau dịch vụ là điểm cộng.,2026-08-14 07:19:00,2026-08-16 03:19:00
10,23,4,"Khá hài lòng, kỹ thuật viên làm kỹ và đúng giờ.",2026-07-30 18:46:00,2026-08-01 11:46:00
11,24,4,"Phòng sạch, mùi tinh dầu dễ chịu.",2026-06-20 03:33:00,2026-06-21 02:33:00
12,31,5,"Được tư vấn kỹ trước khi làm, tôi thấy an tâm.",2026-09-13 07:44:00,2026-09-14 09:44:00
13,36,3,"Trải nghiệm ở mức bình thường, không có gì nổi bật.",2026-06-15 21:13:00,2026-06-16 22:13:00
14,37,4,"Đặt lịch nhanh, lễ tân nhắc lịch trước khi đến.",2026-05-30 16:18:00,2026-05-31 20:18:00
15,38,4,"Massage lực vừa phải, đúng như tôi yêu cầu.",2026-06-04 00:20:00,2026-06-06 04:20:00
16,39,5,"Không gian yên tĩnh, đúng phòng tôi đã đặt.",2026-09-04 17:50:00,2026-09-06 04:50:00
17,40,5,Nhân viên nhớ sở thích của tôi từ lần trước.,2026-08-02 07:44:00,2026-08-04 15:44:00
18,41,4,"Khá hài lòng, kỹ thuật viên làm kỹ và đúng giờ.",2026-07-02 19:20:00,2026-07-03 07:20:00
19,42,5,"Được tư vấn kỹ trước khi làm, tôi thấy an tâm.",2026-08-19 17:45:00,2026-08-20 01:45:00
20,49,5,Trà thảo mộc sau dịch vụ là điểm cộng.,2026-09-10 03:02:00,2026-09-10 17:02:00
21,50,5,"Không gian yên tĩnh, đúng phòng tôi đã đặt.",2026-06-06 03:30:00,2026-06-06 06:30:00
22,57,5,"Đá nóng rất dễ chịu, cổ vai gáy đỡ hẳn.",2026-05-30 14:13:00,2026-05-31 19:13:00
23,62,5,"Rất hài lòng, kỹ thuật viên chuyên nghiệp và chu đáo.",2026-07-26 04:15:00,2026-07-28 03:15:00
24,66,5,Trà thảo mộc sau dịch vụ là điểm cộng.,2026-07-05 03:57:00,2026-07-06 08:57:00
25,68,4,"Dịch vụ tốt, tôi sẽ giới thiệu cho bạn bè.",2026-07-14 05:48:00,2026-07-15 12:48:00
26,70,5,"Không gian yên tĩnh, đúng phòng tôi đã đặt.",2026-06-30 13:00:00,2026-07-02 18:00:00
27,71,5,"Đá nóng rất dễ chịu, cổ vai gáy đỡ hẳn.",2026-09-03 15:33:00,2026-09-04 23:33:00
28,72,4,"Đặt lịch nhanh, lễ tân nhắc lịch trước khi đến.",2026-09-06 10:14:00,2026-09-07 21:14:00
29,78,4,"Massage lực vừa phải, đúng như tôi yêu cầu.",2026-06-02 12:14:00,2026-06-02 16:14:00
30,79,4,"Dịch vụ tốt, tôi sẽ giới thiệu cho bạn bè.",2026-08-09 05:15:00,2026-08-10 06:15:00
31,82,5,Nhân viên nhớ sở thích của tôi từ lần trước.,2026-06-18 02:04:00,2026-06-20 01:04:00
32,87,5,"Được tư vấn kỹ trước khi làm, tôi thấy an tâm.",2026-06-12 00:55:00,2026-06-13 07:55:00
33,90,2,Chưa được hỏi về lực massage phù hợp.,2026-06-19 06:44:00,2026-06-21 03:44:00
34,91,3,"Nhân viên thân thiện, mong cải thiện phần tư vấn sau dịch vụ.",2026-09-03 04:33:00,2026-09-05 03:33:00
35,92,4,"Phòng sạch, mùi tinh dầu dễ chịu.",2026-08-15 10:43:00,2026-08-16 09:43:00
36,99,1,"Phòng hơi ồn, tôi không thư giãn được.",2026-06-19 09:02:00,2026-06-21 20:02:00
37,100,5,"Rất hài lòng, kỹ thuật viên chuyên nghiệp và chu đáo.",2026-08-11 19:45:00,2026-08-12 23:45:00
38,105,5,"Được tư vấn kỹ trước khi làm, tôi thấy an tâm.",2026-07-01 16:40:00,2026-07-02 07:40:00
39,112,3,Giá hợp lý so với chất lượng nhận được.,2026-06-27 22:32:00,2026-06-28 13:32:00
40,115,5,"Không gian yên tĩnh, đúng phòng tôi đã đặt.",2026-06-21 17:59:00,2026-06-24 05:59:00
41,118,5,Trà thảo mộc sau dịch vụ là điểm cộng.,2026-06-11 23:41:00,2026-06-12 12:41:00
42,120,3,"Trải nghiệm ở mức bình thường, không có gì nổi bật.",2026-06-22 02:06:00,2026-06-24 03:06:00
43,121,5,"Rất hài lòng, kỹ thuật viên chuyên nghiệp và chu đáo.",2026-07-28 06:19:00,2026-07-29 05:19:00
44,124,4,"Khá hài lòng, kỹ thuật viên làm kỹ và đúng giờ.",2026-08-04 02:20:00,2026-08-05 13:20:00
45,128,4,"Dịch vụ tốt, tôi sẽ giới thiệu cho bạn bè.",2026-07-11 22:22:00,2026-07-13 12:22:00
46,130,2,Không gian đẹp nhưng lễ tân xác nhận lịch còn chậm.,2026-09-01 23:14:00,2026-09-02 23:14:00
47,134,5,Nhân viên nhớ sở thích của tôi từ lần trước.,2026-09-04 20:42:00,2026-09-07 05:42:00
48,135,5,"Đá nóng rất dễ chịu, cổ vai gáy đỡ hẳn.",2026-09-07 03:27:00,2026-09-09 06:27:00
49,137,5,Trà thảo mộc sau dịch vụ là điểm cộng.,2026-07-25 18:32:00,2026-07-28 05:32:00
