id,booking_id,service_id,service_name_snapshot,duration_minutes,base_price_snapshot,additional_duration_steps,price_per_step_snapshot,line_amount,created_at
1,1,10,Foot Relaxation,45,250000,0,80000,250000,2026-09-02 09:00:00
2,2,3,Hydrating Facial,60,520000,0,150000,520000,2026-07-13 13:30:00
3,3,9,Body Detox Wrap,75,580000,0,0,580000,2026-06-23 10:00:00
4,4,10,Foot Relaxation,60,250000,1,80000,330000,2026-06-05 08:00:00
5,5,9,Body Detox Wrap,75,580000,0,0,580000,2026-08-14 12:30:00
6,6,10,Foot Relaxation,60,250000,1,80000,330000,2026-06-19 04:00:00
7,7,10,Foot Relaxation,45,250000,0,80000,250000,2026-08-12 09:30:00
8,8,10,Foot Relaxation,75,250000,2,80000,410000,2026-08-07 09:30:00
9,9,2,Deep Cleansing Facial,75,480000,0,0,480000,2026-08-02 05:00:00
10,10,8,Body Scrub,60,420000,0,0,420000,2026-08-05 08:30:00
11,11,6,Hot Stone Massage,90,650000,0,0,650000,2026-08-30 11:00:00
12,12,10,Foot Relaxation,45,250000,0,80000,250000,2026-06-09 08:00:00
13,13,10,Foot Relaxation,60,250000,1,80000,330000,2026-08-25 13:30:00
14,14,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-08-24 07:00:00
15,15,2,Deep Cleansing Facial,75,480000,0,0,480000,2026-08-09 11:30:00
16,16,10,Foot Relaxation,45,250000,0,80000,250000,2026-07-08 08:30:00
17,17,1,Facial Basic Care,120,350000,2,120000,590000,2026-07-02 08:00:00
18,18,4,Relaxing Body Massage,60,450000,0,180000,450000,2026-06-10 14:30:00
19,18,3,Hydrating Facial,60,520000,0,150000,520000,2026-06-10 14:30:00
20,19,3,Hydrating Facial,90,520000,1,150000,670000,2026-06-29 10:30:00
21,20,9,Body Detox Wrap,75,580000,0,0,580000,2026-07-24 11:30:00
22,21,11,Premium Facial Renewal,90,850000,0,0,850000,2026-07-25 12:30:00
23,22,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-08-14 07:00:00
24,23,10,Foot Relaxation,75,250000,2,80000,410000,2026-06-28 09:30:00
25,24,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-07-01 07:00:00
26,25,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-06-21 05:00:00
27,26,4,Relaxing Body Massage,60,450000,0,180000,450000,2026-05-28 07:30:00
28,27,4,Relaxing Body Massage,90,450000,1,180000,630000,2026-07-13 08:00:00
29,28,11,Premium Facial Renewal,90,850000,0,0,850000,2026-06-27 09:30:00
30,29,6,Hot Stone Massage,90,650000,0,0,650000,2026-06-07 03:00:00
31,30,11,Premium Facial Renewal,90,850000,0,0,850000,2026-08-20 10:30:00
32,31,5,Aromatherapy Massage,120,520000,2,200000,920000,2026-06-12 10:00:00
33,32,10,Foot Relaxation,75,250000,2,80000,410000,2026-09-02 07:00:00
34,33,3,Hydrating Facial,90,520000,1,150000,670000,2026-06-07 08:00:00
35,34,1,Facial Basic Care,90,350000,1,120000,470000,2026-07-19 09:00:00
36,35,9,Body Detox Wrap,75,580000,0,0,580000,2026-07-30 12:30:00
37,36,10,Foot Relaxation,45,250000,0,80000,250000,2026-07-16 11:00:00
38,37,5,Aromatherapy Massage,90,520000,1,200000,720000,2026-06-13 07:00:00
39,38,11,Premium Facial Renewal,90,850000,0,0,850000,2026-05-31 10:00:00
40,39,1,Facial Basic Care,60,350000,0,120000,350000,2026-05-30 11:30:00
41,39,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-05-30 11:30:00
42,40,11,Premium Facial Renewal,90,850000,0,0,850000,2026-06-09 04:00:00
43,41,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-07-26 15:30:00
44,41,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-07-26 15:30:00
45,42,8,Body Scrub,60,420000,0,0,420000,2026-06-25 08:00:00
46,43,10,Foot Relaxation,45,250000,0,80000,250000,2026-08-03 06:00:00
47,44,9,Body Detox Wrap,75,580000,0,0,580000,2026-06-16 03:00:00
48,45,8,Body Scrub,60,420000,0,0,420000,2026-08-02 08:30:00
49,46,3,Hydrating Facial,90,520000,1,150000,670000,2026-07-16 15:30:00
50,47,10,Foot Relaxation,45,250000,0,80000,250000,2026-08-24 10:30:00
51,48,8,Body Scrub,60,420000,0,0,420000,2026-08-03 14:30:00
52,49,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-06-04 10:30:00
53,50,8,Body Scrub,60,420000,0,0,420000,2026-06-19 09:00:00
54,50,4,Relaxing Body Massage,60,450000,0,180000,450000,2026-06-19 09:00:00
55,51,1,Facial Basic Care,120,350000,2,120000,590000,2026-08-01 05:00:00
56,52,3,Hydrating Facial,60,520000,0,150000,520000,2026-05-23 03:00:00
57,53,8,Body Scrub,60,420000,0,0,420000,2026-07-13 07:30:00
58,54,6,Hot Stone Massage,90,650000,0,0,650000,2026-07-26 10:00:00
59,55,3,Hydrating Facial,90,520000,1,150000,670000,2026-08-11 10:00:00
60,56,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-06-29 13:30:00
61,56,8,Body Scrub,60,420000,0,0,420000,2026-06-29 13:30:00
62,57,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-07-27 07:00:00
63,58,2,Deep Cleansing Facial,75,480000,0,0,480000,2026-07-18 07:00:00
64,59,6,Hot Stone Massage,90,650000,0,0,650000,2026-07-10 08:00:00
65,60,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-06-28 08:00:00
66,61,1,Facial Basic Care,90,350000,1,120000,470000,2026-07-02 09:00:00
67,62,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-06-09 13:30:00
68,63,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-06-11 05:00:00
69,63,1,Facial Basic Care,60,350000,0,120000,350000,2026-06-11 05:00:00
70,64,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-05-28 07:00:00
71,65,8,Body Scrub,60,420000,0,0,420000,2026-08-07 07:00:00
72,66,8,Body Scrub,60,420000,0,0,420000,2026-07-12 09:00:00
73,67,3,Hydrating Facial,60,520000,0,150000,520000,2026-06-28 15:30:00
